,Tamanho,Algoritmo,Tempo
0,500,Força Bruta,0.10779799999999998
1,500,BMH,0.026212099999999957
2,500,BMHS,0.07917700000000003
3,500,Shift-And Exato,0.28566359999999996
4,500,Shift-And Aproximado,1.3011761999999996
5,1000,Força Bruta,0.19281820000000008
6,1000,BMH,0.1496321
7,1000,BMHS,0.13836269999999995
8,1000,Shift-And Exato,0.5960322999999998
9,1000,Shift-And Aproximado,2.3111877999999995
10,1500,Força Bruta,0.2739235999999998
11,1500,BMH,0.06310380000000002
12,1500,BMHS,0.12143560000000007
13,1500,Shift-And Exato,0.825036
14,1500,Shift-And Aproximado,4.232767100000005
15,2000,Força Bruta,0.5318306999999999
16,2000,BMH,0.09494239999999994
17,2000,BMHS,0.15377750000000015
18,2000,Shift-And Exato,1.1135864000000006
19,2000,Shift-And Aproximado,5.127407999999997
20,5000,Força Bruta,0.977806599999999
21,5000,BMH,0.1655314999999997
22,5000,BMHS,0.23019359999999972
23,5000,Shift-And Exato,3.0349161999999947
24,5000,Shift-And Aproximado,11.693309799999987
